name,year,miles,color,condition,price
Honda Odyssey,2019,"51,617 miles","Silver exterior, Brown interior","1 accident reported, 1 Owner",28998
Mercedes-Benz GLB,2020,"24,121 miles","Black exterior, Black interior","No accidents reported, 2 Owners",27179
BMW i3,2016,"62,200 miles","White exterior, Gray interior","No accidents reported, 3 Owners",12999
Ford Bronco,2022,"10,611 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner",46997
BMW 3 Series,2017,"78,006 miles","Gray exterior, Black interior","1 accident reported, 2 Owners",17998
Subaru WRX,2019,"38,318 miles","Gray exterior, Black interior","No accidents reported, 4 Owners",26298
Kia Forte,2022,"38,804 miles","White exterior, Black interior","No accidents reported, 1 Owner",15199
Jeep Wrangler,2016,"82,472 miles","Black exterior, Black interior","No accidents reported, 1 Owner",23998
Honda Civic,2020,"46,024 miles","Blue exterior, Unknown interior","No accidents reported, 1 Owner",19998
Toyota Corolla,2021,"21,209 miles","Red exterior, Black interior","1 accident reported, 1 Owner",22993
Volkswagen Jetta,2019,"19,267 miles","White exterior, Black interior","No accidents reported, 1 Owner",17991
Ford Edge,2023,"4,706 miles","White exterior, Black interior","No accidents reported, 1 Owner",34770
Ford Edge,2020,"23,841 miles","White exterior, Black interior","No accidents reported, 1 Owner",27995
Land Rover Range Rover,2014,"74,950 miles","White exterior, Beige interior","1 accident reported, 1 Owner",29995
Toyota Corolla,2014,"103,439 miles","Gray exterior, Black interior","No accidents reported, 4 Owners",12750
Toyota Camry,2022,"31,535 miles","White exterior, Black interior","No accidents reported, 1 Owner",21899
BMW X5,2021,"40,003 miles","Gray exterior, Brown interior","1 accident reported, 1 Owner",36996
Land Rover Range Rover Sport,2014,"109,322 miles","White exterior, Unknown interior","No accidents reported, 4 Owners",18995
Land Rover Range Rover Sport,2015,"25,995 miles","Unknown exterior, Unknown interior","No accidents reported, 5 Owners",25995
Lexus IS,2014,"101,232 miles","White exterior, Beige interior","2 accidents reported, 3 Owners",16795
BMW X3,2021,"47,167 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",26698
Honda Civic,2021,"27,790 miles","Black exterior, Black interior","No accidents reported, 1 Owner",22498
Mercedes-Benz E-Class,2021,"16,386 miles","Black exterior, Black interior","No accidents reported, 1 Owner",35756
Nissan Sentra,2019,"50,045 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",16998
Honda Civic,2018,"77,068 miles","White exterior, Gray interior","No accidents reported, 3 Owners",14987
Chevrolet Silverado 1500,2018,"20,165 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",41000
Toyota Camry,2022,"31,634 miles","Silver exterior, Black interior","No accidents reported, 1 Owner",22100
Ford Transit Passenger Wagon,2021,"61,023 miles","White exterior, Black interior","No accidents reported, 2 Owners",42993
Toyota Corolla,2022,"38,484 miles","Blue exterior, Black interior","No accidents reported, 1 Owner",18498
Chevrolet Malibu,2022,"32,668 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner",19998
Mercedes-Benz C-Class,2020,"26,488 miles","Blue exterior, Beige interior","No accidents reported, 2 Owners",24990
Mercedes-Benz GLE,2021,"41,592 miles","Black exterior, Black interior","No accidents reported, 1 Owner",36991
Kia Forte,2022,"39,844 miles","White exterior, Black interior","No accidents reported, 1 Owner",15199
Toyota Camry,2023,"14,771 miles","Unknown exterior, Unknown interior","No accidents reported, 1 Owner",25995
Toyota Tacoma,2022,"9,629 miles","White exterior, Black interior","No accidents reported, 1 Owner",40991
BMW 3 Series,2017,"86,333 miles","Gray exterior, Black interior","No accidents reported, 2 Owners",15600
Mercedes-Benz GLE,2021,"40,995 miles","White exterior, Black interior","No accidents reported, 1 Owner",59888
Audi Q5,2021,"23,982 miles","Black exterior, Black interior","No accidents reported, 1 Owner",33949
Toyota Corolla,2021,"17,471 miles","Gray exterior, Black interior","1 accident reported, 1 Owner",17987
Chevrolet Blazer,2021,"33,980 miles","White exterior, Black interior","No accidents reported, 1 Owner",24986
Toyota Corolla,2022,"47,087 miles","Black exterior, Unknown interior","No accidents reported, 2 Owners",17999
Maserati GranTurismo,2014,"52,973 miles","Black exterior, Beige interior","No accidents reported, 2 Owners",39999
Mercedes-Benz C-Class,2021,"18,741 miles","Blue exterior, Beige interior","No accidents reported, 1 Owner",30651
Toyota Camry,2020,"64,716 miles","Gray exterior, Black interior","No accidents reported, 1 Owner",18700
